node[0] 	"ping loss rate (%)" 	71.428571428571
node[1] 	"ping loss rate (%)" 	100
node[2] 	"ping loss rate (%)" 	14.285714285714
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	100
node[5] 	"ping loss rate (%)" 	37.5
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	100
node[8] 	"ping loss rate (%)" 	100
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	33.333333333333
node[1] 	"ping loss rate (%)" 	97.777777777778
node[2] 	"ping loss rate (%)" 	48.888888888889
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	84.444444444444
node[5] 	"ping loss rate (%)" 	62.222222222222
node[6] 	"ping loss rate (%)" 	97.777777777778
node[7] 	"ping loss rate (%)" 	100
node[8] 	"ping loss rate (%)" 	97.777777777778
node[9] 	"ping loss rate (%)" 	88.888888888889
node[0] 	"ping loss rate (%)" 	22.222222222222
node[1] 	"ping loss rate (%)" 	88.888888888889
node[2] 	"ping loss rate (%)" 	33.333333333333
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	100
node[5] 	"ping loss rate (%)" 	77.777777777778
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	100
node[8] 	"ping loss rate (%)" 	100
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	25
node[1] 	"ping loss rate (%)" 	100
node[2] 	"ping loss rate (%)" 	87.5
node[3] 	"ping loss rate (%)" 	87.5
node[4] 	"ping loss rate (%)" 	100
node[5] 	"ping loss rate (%)" 	87.5
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	100
node[8] 	"ping loss rate (%)" 	100
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	76.923076923077
node[1] 	"ping loss rate (%)" 	92.307692307692
node[2] 	"ping loss rate (%)" 	75
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	91.666666666667
node[5] 	"ping loss rate (%)" 	66.666666666667
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	100
node[8] 	"ping loss rate (%)" 	100
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	42.5
node[1] 	"ping loss rate (%)" 	92.307692307692
node[2] 	"ping loss rate (%)" 	35
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	87.5
node[5] 	"ping loss rate (%)" 	48.717948717949
node[6] 	"ping loss rate (%)" 	97.5
node[7] 	"ping loss rate (%)" 	94.871794871795
node[8] 	"ping loss rate (%)" 	97.5
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	62.5
node[1] 	"ping loss rate (%)" 	79.166666666667
node[2] 	"ping loss rate (%)" 	37.5
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	100
node[5] 	"ping loss rate (%)" 	70.833333333333
node[6] 	"ping loss rate (%)" 	96
node[7] 	"ping loss rate (%)" 	96
node[8] 	"ping loss rate (%)" 	96
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	78.461538461538
node[1] 	"ping loss rate (%)" 	80
node[2] 	"ping loss rate (%)" 	38.461538461538
node[3] 	"ping loss rate (%)" 	95.3125
node[4] 	"ping loss rate (%)" 	100
node[5] 	"ping loss rate (%)" 	47.692307692308
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	85.9375
node[8] 	"ping loss rate (%)" 	98.461538461538
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	42.5
node[1] 	"ping loss rate (%)" 	92.307692307692
node[2] 	"ping loss rate (%)" 	25
node[3] 	"ping loss rate (%)" 	97.5
node[4] 	"ping loss rate (%)" 	100
node[5] 	"ping loss rate (%)" 	27.5
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	97.5
node[8] 	"ping loss rate (%)" 	100
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	17.391304347826
node[1] 	"ping loss rate (%)" 	95.833333333333
node[2] 	"ping loss rate (%)" 	47.826086956522
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	95.652173913043
node[5] 	"ping loss rate (%)" 	62.5
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	95.833333333333
node[8] 	"ping loss rate (%)" 	100
node[9] 	"ping loss rate (%)" 	86.95652173913
node[0] 	"ping loss rate (%)" 	42
node[1] 	"ping loss rate (%)" 	92
node[2] 	"ping loss rate (%)" 	18
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	100
node[5] 	"ping loss rate (%)" 	37.254901960784
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	100
node[8] 	"ping loss rate (%)" 	100
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	46.666666666667
node[1] 	"ping loss rate (%)" 	91.111111111111
node[2] 	"ping loss rate (%)" 	34.782608695652
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	95.652173913043
node[5] 	"ping loss rate (%)" 	26.086956521739
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	100
node[8] 	"ping loss rate (%)" 	93.333333333333
node[9] 	"ping loss rate (%)" 	100
