node[0] 	"ping loss rate (%)" 	61.702127659574
node[1] 	"ping loss rate (%)" 	95.744680851064
node[2] 	"ping loss rate (%)" 	62.5
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	97.872340425532
node[5] 	"ping loss rate (%)" 	77.083333333333
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	91.489361702128
node[8] 	"ping loss rate (%)" 	95.833333333333
node[9] 	"ping loss rate (%)" 	93.617021276596
node[0] 	"ping loss rate (%)" 	39.473684210526
node[1] 	"ping loss rate (%)" 	92
node[2] 	"ping loss rate (%)" 	44
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	98.684210526316
node[5] 	"ping loss rate (%)" 	65.789473684211
node[6] 	"ping loss rate (%)" 	98.666666666667
node[7] 	"ping loss rate (%)" 	100
node[8] 	"ping loss rate (%)" 	96.052631578947
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	30
node[1] 	"ping loss rate (%)" 	100
node[2] 	"ping loss rate (%)" 	40
node[3] 	"ping loss rate (%)" 	80
node[4] 	"ping loss rate (%)" 	100
node[5] 	"ping loss rate (%)" 	80
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	100
node[8] 	"ping loss rate (%)" 	100
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	51.515151515152
node[1] 	"ping loss rate (%)" 	100
node[2] 	"ping loss rate (%)" 	62.5
node[3] 	"ping loss rate (%)" 	93.75
node[4] 	"ping loss rate (%)" 	96.969696969697
node[5] 	"ping loss rate (%)" 	56.25
node[6] 	"ping loss rate (%)" 	100
node[7] 	"ping loss rate (%)" 	96.875
node[8] 	"ping loss rate (%)" 	96.875
node[9] 	"ping loss rate (%)" 	100
node[0] 	"ping loss rate (%)" 	69.767441860465
node[1] 	"ping loss rate (%)" 	95.348837209302
node[2] 	"ping loss rate (%)" 	38.636363636364
node[3] 	"ping loss rate (%)" 	100
node[4] 	"ping loss rate (%)" 	97.674418604651
